Output_Type,Modality,ours_Accuracy_sum,ours_Avg_Steps,ours_Min_Steps,ours_Max_Steps,ours_Avg_Latency,ours_Min_Latency,ours_Max_Latency,ours_Total_Tokens_mean,ours_Min_Total_Tokens,ours_Max_Total_Tokens,ours_Cost_sum,caesura_Accuracy_sum,caesura_Steps_mean,caesura_Min_Steps,caesura_Max_Steps,caesura_Latency_mean,caesura_Latency_min,caesura_Latency_max,caesura_Total_Tokens_mean,caesura_Min_Total_Tokens,caesura_Max_Total_Tokens,caesura_Cost_sum,Total_Count,ours_Avg_Accuracy,caesura_Avg_Accuracy
Data Structure,Multiple,1.5,7.0,5.0,10.0,189.135,144.89,334.36,26720.833333333332,16725.0,47425.0,0.64,1.0,12.5,8.0,21.0,555.983749975,205.8610001,917.9889998,25575.5,12053.0,45082.0,0.62744,6,0.25,0.16666666666666666
Data Structure,Single,2.0,6.25,4.0,13.0,48.8975,11.73,119.0,15800.75,4762.0,34654.0,0.25,2.0,10.25,8.0,12.0,50.57275003,42.94899988,55.3900001,12233.5,9545.0,14240.0,0.31276,4,0.5,0.5
Plot,Multiple,2.0,7.0,6.0,10.0,173.10500000000002,161.0,188.62,22557.75,16252.0,38225.0,0.38,0.0,10.75,9.0,13.0,421.34349995,245.428,644.197,16552.75,14188.0,19356.0,0.40081500000000003,4,0.5,0.0
Plot,Single,3.0,6.0,5.0,9.0,26.6375,20.69,41.62,7050.0,5775.0,9815.0,0.1,2.0,9.0,8.0,10.0,42.82224995,38.23699999,51.27999997,11630.25,10687.0,13370.0,0.291275,4,0.75,0.5
Plot|Data Structure,Single,2.0,7.0,7.0,7.0,53.525000000000006,47.45,59.6,10985.0,9067.0,12903.0,0.1,0.0,7.0,7.0,7.0,,,,,,,0.0,2,1.0,0.0
Plot|Plot,Multiple,1.0,8.0,8.0,8.0,266.42,266.42,266.42,40733.0,40733.0,40733.0,0.18,0.0,7.0,7.0,7.0,,,,,,,0.0,1,1.0,0.0
Plot|Plot,Single,1.0,6.0,6.0,6.0,42.5,42.5,42.5,9375.0,9375.0,9375.0,0.04,0.0,9.0,9.0,9.0,,,,,,,0.0,1,1.0,0.0
Single Value,Multiple,0.0,7.25,4.0,10.0,105.345,5.79,300.83,19407.0,3833.0,42517.0,0.28521250000000004,0.0,9.75,9.0,11.0,159.1655000575,45.83500004,290.316,14696.75,13647.0,16205.0,0.355565,4,0.0,0.0
Single Value,Single,4.0,6.75,3.0,16.0,18.35,5.9,48.69,9116.0,3871.0,23738.0,0.11,3.0,12.25,7.0,24.0,102.64400007,35.39300013,228.4660001,19072.5,9257.0,45055.0,0.46618,4,1.0,0.75
